code,config,period,d_qsim_l2_rel,d_qsim_max_abs,d_qsim_max_norm,n_steps
B460101001,GR4J_NSE,val,5.099027560209243e-15,3.7969627442180354e-14,4.3171054357829314e-14,3652
B463101001,GR4J_NSE,val,1.4465692411011977e-14,7.37188088351104e-14,8.432311821798198e-14,3652
B532201001,GR4J_NSE,val,4.2706271725400574e-15,6.394884621840902e-14,4.561749420945637e-14,3652
D020601001,GR4J_NSE,val,7.353420150689238e-15,7.771561172376096e-14,8.888712222796692e-14,3652
E403571001,GR4J_NSE,val,1.2915009473494322e-14,1.6209256159527285e-13,1.4089316069592426e-13,3652
E540651001,GR4J_NSE,val,3.918355718020117e-14,2.071676163950542e-13,1.9027796818635958e-13,3652
F453000101,GR4J_NSE,val,1.813547378745075e-13,2.1826984664130578e-13,5.707337651312439e-13,3652
H232201001,GR4J_NSE,val,2.9584510761913042e-15,3.019806626980426e-14,3.889406221811618e-14,3652
H248201001,GR4J_NSE,val,4.015129923540139e-15,3.4638958368304884e-14,4.251254999113785e-14,3652
H413041010,GR4J_NSE,val,3.9550266731615846e-14,1.6342482922482304e-13,5.315782814384782e-13,3652
H438021010,GR4J_NSE,val,1.337957987982534e-13,1.886268918838141e-13,5.388148918108531e-13,3652
H514262001,GR4J_NSE,val,3.319159579923449e-15,3.375077994860476e-14,3.9951776911353666e-14,3652
H602021010,GR4J_NSE,val,7.747413317726237e-15,7.549516567451064e-14,1.0489324850479427e-13,3652
H611061010,GR4J_NSE,val,4.0653704064253205e-14,1.7408297026122455e-13,2.8615514128232973e-13,3652
H622101001,GR4J_NSE,val,4.426163235893725e-15,3.907985046680551e-14,4.8401704674085345e-14,3652
H642301001,GR4J_NSE,val,2.4020401585941585e-14,7.949196856316121e-14,1.8028657889578897e-13,3652
I200101001,GR4J_NSE,val,5.816765174677182e-15,5.062616992290714e-14,1.1700529204510895e-13,3652
I202101001,GR4J_NSE,val,1.3924574426967734e-14,6.439293542825908e-14,1.5007849062311538e-13,3652
I346301001,GR4J_NSE,val,5.410540603142761e-15,5.81756864903582e-14,5.835229514475592e-14,3652
I403201001,GR4J_NSE,val,5.0049303947240925e-15,4.1744385725905886e-14,5.091811112288924e-14,3652
I505301001,GR4J_NSE,val,1.801599771392701e-15,3.2862601528904634e-14,2.383565996774189e-14,3652
I532151001,GR4J_NSE,val,4.580656498284571e-15,3.9968028886505635e-14,5.78990897677315e-14,3652
I722202001,GR4J_NSE,val,2.055018929634558e-15,3.9968028886505635e-14,2.5225130251175814e-14,3652
I903101001,GR4J_NSE,val,4.534498969981937e-15,3.6415315207705135e-14,4.026700673739626e-14,3652
J032301001,GR4J_NSE,val,4.1674974461782636e-15,4.04121180963557e-14,5.2826635986379105e-14,3652
J110301001,GR4J_NSE,val,5.637391277672178e-15,4.4853010194856324e-14,6.619487820163283e-14,3652
J132401001,GR4J_NSE,val,3.3662057136741006e-15,3.042011087472929e-14,4.5682544344324094e-14,3652
J151301001,GR4J_NSE,val,9.183911033639752e-15,9.237055564881302e-14,9.590882967745888e-14,3652
J172172001,GR4J_NSE,val,5.838729674998434e-15,5.773159728050814e-14,5.724097670574083e-14,3652
J181301001,GR4J_NSE,val,1.1356816123678525e-14,1.0480505352461478e-13,1.6517978206295583e-13,3652
J221311001,GR4J_NSE,val,5.271136403856186e-15,9.059419880941277e-14,6.192553329568204e-14,3652
J223301001,GR4J_NSE,val,5.5414046844810104e-15,6.661338147750939e-14,4.796375499454859e-14,3652
J251401001,GR4J_NSE,val,1.0450416805059083e-14,8.08242361927114e-14,8.133708763538312e-14,3652
J261401002,GR4J_NSE,val,5.082652190961436e-15,6.394884621840902e-14,4.67566265070231e-14,3652
J320571001,GR4J_NSE,val,4.576458193580823e-15,8.79296635503124e-14,5.641224214541781e-14,3652
J421191001,GR4J_NSE,val,2.9189831221209486e-15,9.592326932761353e-14,5.207118035149525e-14,3652
J471201002,GR4J_NSE,val,4.497446733420692e-15,1.1013412404281553e-13,7.362958335306219e-14,3652
J570481001,GR4J_NSE,val,4.800749512014898e-15,6.217248937900877e-14,3.935489482630311e-14,3652
J813301001,GR4J_NSE,val,7.424545898485895e-15,9.769962616701378e-14,1.0897065943418913e-13,3652
K066331001,GR4J_NSE,val,4.059007436466005e-15,4.973799150320701e-14,6.122801231584756e-14,3652
K075321001,GR4J_NSE,val,5.377198998961991e-15,4.1300296516055823e-14,3.837396521602308e-14,3652
K125181001,GR4J_NSE,val,3.70635554888387e-15,4.707345624410664e-14,6.151789588148821e-14,3652
K152401001,GR4J_NSE,val,2.875922965479151e-15,6.039613253960852e-14,4.281648738751805e-14,3652
K175311001,GR4J_NSE,val,2.627772280299109e-15,4.707345624410664e-14,4.320758005780926e-14,3652
K222302001,GR4J_NSE,val,9.35507557838097e-15,5.240252676230739e-14,4.266622282397703e-14,3652
K222303001,GR4J_NSE,val,7.286396044367797e-15,3.8191672047105385e-14,3.7920062738635853e-14,3652
K225401001,GR4J_NSE,val,9.931269055436531e-15,6.039613253960852e-14,6.023190669398796e-14,3652
K337301001,GR4J_NSE,val,3.874911363618394e-15,3.552713678800501e-14,6.347001655307715e-14,3652
K633252001,GR4J_NSE,val,6.000932054954821e-15,4.884981308350689e-14,8.925349324501696e-14,3652
L091402001,GR4J_NSE,val,3.928240963047714e-15,5.684341886080802e-14,6.325011773589309e-14,3652
L441171001,GR4J_NSE,val,5.1841443609084095e-15,5.684341886080802e-14,7.782026798740724e-14,3652
L465301001,GR4J_NSE,val,3.4786196570959827e-15,4.618527782440651e-14,8.027623298643433e-14,3652
L503401001,GR4J_NSE,val,8.22454020149341e-15,5.595524044110789e-14,5.698233282622974e-14,3652
M011491010,GR4J_NSE,val,5.020954509855017e-15,4.618527782440651e-14,5.859860757901974e-14,3652
M530001010,GR4J_NSE,val,8.75448973540071e-15,3.752553823233029e-14,6.680134615960721e-14,3652
O038401001,GR4J_NSE,val,4.922393154734299e-15,3.446132268436486e-13,1.145571177433005e-13,3652
O062401001,GR4J_NSE,val,3.0834342165757656e-15,6.927791673660977e-14,8.069778184758336e-14,3652
O158461001,GR4J_NSE,val,2.6603628540833704e-15,7.105427357601002e-14,7.357316350601608e-14,3652
O528431002,GR4J_NSE,val,3.289526637845444e-15,4.440892098500626e-14,5.704219022404481e-14,3652
O726501001,GR4J_NSE,val,1.2253750323645287e-14,6.794564910705958e-14,7.128350383038347e-14,3652
O794402002,GR4J_NSE,val,3.218373224266924e-15,4.618527782440651e-14,6.412297885450577e-14,3652
P088501001,GR4J_NSE,val,2.5067526566370925e-15,7.283063041541027e-14,3.127749073345494e-14,3652
P367401001,GR4J_NSE,val,4.944725183348907e-15,1.2612133559741778e-13,6.733179599693408e-14,3652
P392252001,GR4J_NSE,val,4.174794743102161e-15,9.237055564881302e-14,5.081921160945083e-14,3652
P613402001,GR4J_NSE,val,7.071179971157712e-15,1.3145040611561853e-13,1.1054116336002947e-13,3652
P638251001,GR4J_NSE,val,4.514486477809697e-15,4.884981308350689e-14,6.263998644895436e-14,3652
P821501001,GR4J_NSE,val,7.844926419272837e-15,6.838973831690964e-14,1.0915418923444574e-13,3652
Q022402001,GR4J_NSE,val,1.8252861430278858e-14,2.575717417130363e-13,1.6918692707508753e-13,3652
Q055401001,GR4J_NSE,val,2.7740250223274563e-15,1.2079226507921703e-13,1.0021257217476691e-13,3652
U012401001,GR4J_NSE,val,5.778399120369162e-15,8.171241461241152e-14,6.978474338053925e-14,3652
U041501001,GR4J_NSE,val,2.2420479120782748e-15,5.3290705182007514e-14,1.8960288265526277e-14,3652
U044431001,GR4J_NSE,val,2.6486229766431214e-15,5.684341886080802e-14,3.11357105565312e-14,3652
U047401001,GR4J_NSE,val,2.8648690144363184e-15,3.4638958368304884e-14,2.136202367236795e-14,3652
U063501001,GR4J_NSE,val,3.799986376165238e-15,4.440892098500626e-14,4.491301117108699e-14,3652
U303401001,GR4J_NSE,val,5.643230784939949e-15,7.016609515630989e-14,9.486667120210999e-14,3652
U342401001,GR4J_NSE,val,2.1992660048574215e-15,4.263256414560601e-14,3.361497733543246e-14,3652
U452521001,GR4J_NSE,val,1.1539506870451633e-14,6.394884621840902e-14,1.228518006148638e-13,3652
U463501001,GR4J_NSE,val,6.1455228802098985e-15,8.881784197001252e-14,1.616799911238273e-13,3652
V125501001,GR4J_NSE,val,8.859875604444272e-15,1.9895196601282805e-13,8.885229740165904e-14,3652
V301501001,GR4J_NSE,val,6.377927721336683e-15,6.838973831690964e-14,1.2895124865824785e-13,3652
V445501001,GR4J_NSE,val,6.621840640745564e-15,6.394884621840902e-14,7.859125260667142e-14,3652
V504661001,GR4J_NSE,val,1.5690874807371192e-15,8.171241461241152e-14,3.268374234840677e-14,3652
