category,case,name,kind,n_values,max_abs,max_rel,worst
Coupled snow models,CemaNeigeGR5J,Pn,series,2191,2.3092638912203256e-14,5.180819074216339e-13,1.6944778913341452e-14
Coupled snow models,CemaNeigeGR5J,Ps,series,2191,3.552713678800501e-14,2.6843670076694044e-11,2.2648549702353193e-14
Coupled snow models,CemaNeigeGR5J,AE,series,2191,3.375077994860476e-14,2.282848153632474e-12,2.481348460037225e-14
Coupled snow models,CemaNeigeGR5J,Perc,series,2191,4.551914400963142e-14,8.257236562477679e-13,4.551914400963142e-14
Coupled snow models,CemaNeigeGR5J,PR,series,2191,6.572520305780927e-14,9.220232006344245e-13,5.1958437552457326e-14
Coupled snow models,CemaNeigeGR5J,Q9,series,2191,3.375077994860476e-14,8.826453017896907e-13,2.531308496145357e-14
Coupled snow models,CemaNeigeGR5J,Q1,series,2191,3.774758283725532e-15,8.279959334070625e-13,3.774758283725532e-15
Coupled snow models,CemaNeigeGR5J,Rout,series,2191,2.913225216616411e-13,6.665888043346998e-15,6.665888043346998e-15
Coupled snow models,CemaNeigeGR5J,Exch,series,2191,3.247402347028583e-15,3.584280815861931e-12,3.247402347028583e-15
Coupled snow models,CemaNeigeGR5J,AExch1,series,2191,3.247402347028583e-15,3.584280815861931e-12,3.247402347028583e-15
Coupled snow models,CemaNeigeGR5J,AExch2,series,2191,3.247402347028583e-15,1.3757488797496895e-12,3.247402347028583e-15
Coupled snow models,CemaNeigeGR5J,AExch,series,2191,6.5503158452884236e-15,3.141699272756208e-12,6.5503158452884236e-15
Coupled snow models,CemaNeigeGR5J,QR,series,2191,5.1958437552457326e-14,1.0370199208337355e-13,3.5455465217671504e-14
Coupled snow models,CemaNeigeGR5J,QD,series,2191,7.049916206369744e-15,5.597477657335664e-13,7.049916206369744e-15
Coupled snow models,CemaNeigeGR5J,Qsim,series,2191,5.773159728050814e-14,1.0872890919423574e-13,2.7860469123125894e-14
Coupled snow models,CemaNeigeGR5J,MeanAnSolidPrecip,scalar,1,2.3874235921539366e-12,3.589977574740494e-15,3.589977574740494e-15
Coupled snow models,CemaNeigeGR6J,PotEvap,series,2191,0.0,0.0,0.0
Coupled snow models,CemaNeigeGR6J,Precip,series,2191,0.0,0.0,0.0
Coupled snow models,CemaNeigeGR6J,Prod,series,2191,3.979039320256561e-13,8.60997180736116e-15,8.60997180736116e-15
