code,config,d_param_max,d_param_rel_max,d_param_span_max,d_crit_calib,d_nse_cal,d_kge_cal,d_nse_val,d_kge_val,nse_cal_R,nse_val_R,kge_cal_R,kge_val_R,n_runs_R,n_runs_HS,n_iter_R,n_iter_HS
B532201001,GR4J_KGE,3.7306824602990163e-16,3.7306824602990163e-16,6.516558917529857e-19,5.959676266335099e-16,2.5728099284255795e-16,5.959676266335099e-16,2.469622053559306e-15,2.1464514625080875e-15,0.863043174980713,0.809193229160355,0.931445748904653,0.879302036328089,233,233,21,21
B532201001,GR5J_NSE,1.1835511900865547e-15,1.1835511900865547e-15,1.5639741402071657e-17,0.0,0.0,2.489121501799254e-16,2.2734735435855262e-15,4.889350269020067e-15,0.867174503180136,0.830174227093118,0.892060129505639,0.90827857571159,1511,1512,122,122
B532201001,GR6J_NSE,1.1962763368074212e-16,1.1962763368074212e-16,6.516558917529857e-19,6.330817253246123e-16,6.330817253246123e-16,4.384221222835745e-15,2.287708364182255e-15,2.311475485982228e-15,0.876840208944501,0.825008629339611,0.88631033624592,0.912587548334491,1234,1234,44,44
B532201001,CemaNeigeGR4J_NSE,1.8684074260654564e-15,1.8684074260654564e-15,4.5615912422709e-16,1.275089884521961e-16,1.275089884521961e-16,3.6553636080420907e-16,1.315224410255278e-15,1.9278876778727666e-15,0.870701774127387,0.844132009692299,0.91117312284549,0.921400587694136,1049,1050,29,29
D020601001,GR4J_NSE,5.1657809434199e-16,5.1657809434199e-16,2.606623567011943e-18,8.605504246728449e-16,8.605504246728449e-16,2.131270759504023e-15,1.6884140393478136e-15,6.181147118182134e-15,0.903091899040153,0.789064529494676,0.937657233560666,0.862149115093061,194,194,16,16
D020601001,GR4J_KGE,0.0,0.0,0.0,1.6352622846292666e-15,2.46440248033042e-16,1.6352622846292666e-15,1.5559523367240862e-15,3.734722668242631e-15,0.901007877963425,0.784886077975172,0.950497207136163,0.862084566222411,620,620,64,64
D020601001,GR5J_NSE,9.751766096514724e-16,9.751766096514724e-16,1.82463649690836e-17,2.4566623505065256e-16,2.4566623505065256e-16,4.67529225150053e-15,1.1212856430200498e-15,6.422271895835736e-15,0.903846655521257,0.792107189839622,0.94986406402195,0.864353800829451,1443,1444,116,116
D020601001,GR6J_NSE,8.070614826220709e-16,8.070614826220709e-16,6.5165589175298575e-18,2.4270890973816277e-16,2.4270890973816277e-16,1.3413060964371772e-15,1.422598483502841e-15,3.2124221451275066e-15,0.914859718848293,0.780419097517574,0.910489656560561,0.82944741964933,1568,1569,72,72
D020601001,CemaNeigeGR4J_NSE,6.819174085623329e-16,6.819174085623329e-16,1.3033117835059715e-18,3.679911549502856e-16,3.679911549502856e-16,3.435882283458611e-15,2.8124255545729783e-16,7.821187610225307e-15,0.90509487227361,0.789512826620384,0.937065506264088,0.865899245449549,963,964,23,23
E403571001,GR4J_NSE,1.1687207997221275e-16,1.1687207997221275e-16,1.0426494268047772e-17,1.2832064435661677e-15,1.2832064435661677e-15,1.6414694213794118e-15,1.2618200828842163e-16,2.4679858648474257e-16,0.865194396577162,0.879858420138198,0.879267023323427,0.89969966233481,447,448,46,46
E403571001,GR4J_KGE,1.6785340771274034e-16,1.6785340771274034e-16,1.0426494268047772e-17,4.801985172833684e-16,2.609793594551302e-16,4.801985172833684e-16,1.2868368047350728e-16,2.165127225835839e-15,0.850812897190849,0.862753552385163,0.924803375825508,0.92299492633917,1134,1134,122,122
E403571001,GR5J_NSE,9.907046394053392e-16,9.907046394053392e-16,2.0852988536095543e-17,2.564711869478072e-16,2.564711869478072e-16,3.495160886499381e-15,5.040923805972764e-16,7.399613391446632e-16,0.865768227485991,0.880967907755085,0.889408118795904,0.900227862640894,1405,1405,111,111
E403571001,GR6J_NSE,1.5169904967558852e-16,1.5169904967558852e-16,6.516558917529857e-19,1.1544109688560606e-15,1.1544109688560606e-15,2.62565108870678e-15,1.259297159032266e-16,1.1300045500440632e-15,0.865550266862743,0.881621161980808,0.887958176065638,0.88424486620313,1920,1920,97,97
E403571001,CemaNeigeGR4J_NSE,7.859866196522688e-16,7.859866196522688e-16,2.0364246617280805e-17,2.559456442277359e-16,2.559456442277359e-16,1.6347269967265976e-15,2.5261944777015094e-16,1.3496613351479979e-15,0.867545941619776,0.878968768576604,0.88289355647932,0.904853162259224,1350,1349,53,53
E540651001,GR4J_NSE,1.3123051805835061e-15,1.3123051805835061e-15,2.0852988536095543e-17,1.2530715458602735e-15,1.2530715458602735e-15,3.5478030310328257e-16,2.0046773663090982e-14,8.239246330900514e-15,0.88600130478819,0.808571814694096,0.938797629051536,0.902812461995605,331,331,33,33
E540651001,GR4J_KGE,9.202539682362103e-15,9.202539682362103e-15,1.0182123308640402e-20,4.005200575847664e-15,3.763207745650443e-16,4.005200575847664e-15,2.1014613625982733e-14,1.3273042268287887e-14,0.885061176259826,0.808314279724024,0.94246423175115,0.895001019613382,939,939,101,101
